Wall time,Step,Value
1621700671,0,0.224772856
1621704186,1,0.21251744
1621707711,2,0.206596032
1621711090,3,0.204423919
1621714517,4,0.199409783
1621717900,5,0.198847443
1621721278,6,0.19593063
1621724704,7,0.197893724
1621728041,8,0.194448858
1621731267,9,0.191583276
1621734448,10,0.190756887
1621737659,11,0.191484585
1621740889,12,0.189444542
1621744081,13,0.190755785
1621747200,14,0.190037459
1621750084,15,0.187705413
1621753228,16,0.186934203
1621756412,17,0.185626134
1621759612,18,0.186886579
1621762831,19,0.184722647
1621765205,20,0.185953856
1621767548,21,0.181832716
1621769947,22,0.182037249
1621772342,23,0.183876753
1621774737,24,0.181542456
1621777104,25,0.181621119
1621780052,26,0.180061787
1621783102,27,0.181879461
1621786263,28,0.179110318
1621789455,29,0.181594238
1621792662,30,0.179945752
1621795841,31,0.179447457
1621798876,32,0.178578019
1621801722,33,0.17793408
1621804547,34,0.176771119
1621807287,35,0.178224117
1621810090,36,0.175812677
1621812865,37,0.177020803
1621815203,38,0.175566137
1621817417,39,0.178032711
1621819642,40,0.179720491
1621821865,41,0.18024829
1621824085,42,0.177705273
1621826304,43,0.177731127
1621828519,44,0.177155033
1621830738,45,0.180254981
1621832943,46,0.179011971
1621835160,47,0.176660165
1621837376,48,0.177816138
1621839590,49,0.177464053
1621841804,50,0.176675528
1621844010,51,0.176852643
1621846232,52,0.174619302
1621848433,53,0.1758039
1621850625,54,0.176794097
1621852824,55,0.175454289
1621855042,56,0.175772682
1621857252,57,0.173327446
1621859468,58,0.17445758
1621861688,59,0.173704058
1621863896,60,0.175221324
1621866111,61,0.173512131
1621868326,62,0.173609585
1621870541,63,0.17377001
1621872739,64,0.172834113
1621874957,65,0.17362088
1621877174,66,0.172107622
1621879390,67,0.173439503
1621881607,68,0.17307578
1621883824,69,0.171738476
1621886025,70,0.171742618
1621888241,71,0.170483515
1621890465,72,0.17297852
1621892685,73,0.17163977
1621894904,74,0.172940075
1621897123,75,0.169982225
1621899323,76,0.170413807
1621901542,77,0.169322804
1621903748,78,0.170144215
1621905958,79,0.170350879
1621908183,80,0.172048494
1621910398,81,0.171160504
1621912589,82,0.172739252
1621914806,83,0.172239199
1621917029,84,0.171395883
1621919233,85,0.171184435
1621921458,86,0.17138648
1621923677,87,0.172077522
1621925892,88,0.171230137
1621928115,89,0.171213001
1621930325,90,0.168982372
1621932627,91,0.172079057
1621934955,92,0.169997618
1621937333,93,0.169325039
1621939698,94,0.169683352
1621942033,95,0.169276759
1621944401,96,0.169938058
1621946753,97,0.168386325
1621949130,98,0.168874249
1621951494,99,0.168997556
1621953827,100,0.169349313
1621956194,101,0.169565946
1621958570,102,0.168200076
1621960939,103,0.167813927
1621963295,104,0.168588534
1621965645,105,0.168589115
1621967841,106,0.166836441
1621970038,107,0.168277666
1621972222,108,0.168330088
1621974437,109,0.16669105
1621976641,110,0.168333858
1621978852,111,0.167308703
1621981054,112,0.167641088
1621983257,113,0.165814504
1621985453,114,0.166237637
1621987659,115,0.167580694
1621989878,116,0.168172181
1621992085,117,0.16545333
1621994422,118,0.167195737
1621996782,119,0.166512206
1622024117,120,0.1622006
1622026506,121,0.160787672
1622028905,122,0.159690931
1622031306,123,0.159006864
1622033735,124,0.160156667
1622036168,125,0.159670368
1622038565,126,0.158754215
1622040959,127,0.158333421
1622043367,128,0.159104407
1622045776,129,0.158109307
1622048201,130,0.157736033
1622050610,131,0.156361744
1622052989,132,0.158844501
1622055327,133,0.157106847
1622057670,134,0.157685682
1622059999,135,0.156648621
1622062346,136,0.157816008
1622064683,137,0.157879293
1622067023,138,0.15655978
1622069377,139,0.157609552
1622071784,140,0.157245383
1622074180,141,0.158077955
1622076597,142,0.156756192
1622079007,143,0.155431122
1622081427,144,0.156766996
1622083752,145,0.156387508
1622086121,146,0.15772149
1622088449,147,0.156099141
1622090777,148,0.155482575
1622093093,149,0.156826317
1622095413,150,0.155899942
1622097729,151,0.156309083
1622100078,152,0.157272384
1622102457,153,0.156651527
1622104854,154,0.155044481
1622107298,155,0.157138973
1622109714,156,0.156460941
1622112168,157,0.15606156
1622114597,158,0.157485932
1622117030,159,0.155960381
1622119470,160,0.150503144
1622121924,161,0.152955145
1622124353,162,0.151494905
1622126781,163,0.150998101
1622129218,164,0.151544794
1622131641,165,0.152350485
1622134081,166,0.151582867
1622136516,167,0.150643721
1622138926,168,0.151914299
1622141324,169,0.150727406
1622143716,170,0.151223794
1622146134,171,0.150161535
1622148523,172,0.15033786
1622150904,173,0.150621012
1622153365,174,0.14929451
1622155817,175,0.15018943
1622158274,176,0.150574923
1622160743,177,0.151076093
1622163189,178,0.15036656
1622165623,179,0.151601195
1622168044,180,0.148711637
1622170488,181,0.148901358
1622172931,182,0.150170997
1622175394,183,0.14870055
1622177853,184,0.149064392
1622180301,185,0.149269044
1622182759,186,0.149990618
1622185215,187,0.149326235
1622187681,188,0.148840904
1622190155,189,0.148764297
1622192622,190,0.150264814
1622195092,191,0.148873687
1622197496,192,0.148507193
1622199894,193,0.149058312
